Topic Key,Name,Description,Keywords,Keyword Groups,Category
power_governance,"Ministry, Leadership & Governance","Leadership and policy direction of the Ministry of Power. Includes the Minister of Power's activities, NERC (Nigerian Electricity Regulatory Commission) regulations, and electricity acts.","Minister of Power, Adebayo Adelabu, Ministry of Power, NERC, Electricity Act, power sector regulation, electricity policy",,power
electricity_gen_trans_dist,"Electricity Generation, Transmission & Distribution","The entire power value chain. Covers GenCos (Generation Companies), TCN (Transmission Company of Nigeria), DisCos (Distribution Companies), national grid stability, and power plants (Egbin, Kainji, Shiroro).","TCN, Transmission Company of Nigeria, National Grid, grid collapse, GenCo, DisCo, Egbin Power, Kainji Dam, Shiroro power, Ikeja Electric, Eko Disco, Abuja Disco, Enugu Disco, Kano Disco, power generation, power transmission",,power
power_fuel_gas_supply,Fuel & Gas Supply for Power,"Gas supply to power plants. Covers gas shortages, pipeline vandalism affecting power, and agreements with gas suppliers.","gas supply power, gas shortage power, thermal station, gas pipeline vandalism, gas to power",,power
energy_pricing_tariffs,"Energy Pricing, Tariffs & Subsidy","Cost of electricity. Covers Band A, Band B tariffs, electricity subsidy removal, estimated billing, and prepaid meters.","Band A tariff, electricity tariff, tariff increase, prepaid meter, estimated billing, crazy bill, electricity subsidy, MYTO, Multi-Year Tariff Order, cost of electricity",,power
renewable_energy_transition,Renewable Energy & Energy Transition,"Clean energy initiatives. Covers solar power, mini-grids, REA (Rural Electrification Agency), hydroelectricity, and Nigeria's energy transition plan.","solar power, renewable energy, mini-grid, REA, Rural Electrification Agency, clean energy, hydro power, Zungeru Hydro, Mambilla Plateau project",,power
power_public_sentiment,Public Sentiment & Citizen Complaints,"Public reaction to power supply. Covers blackouts, load shedding, 'up nepa', 'no light', and complaints about DisCos.","no light, blackout, load shedding, up nepa, restore light, power outage, darkness, transformer bad",,power
power_projects_infrastructure,"Projects, Infrastructure & Reforms","Major power projects and reforms. Includes the Siemens Presidential Power Initiative (PPI), construction of new substations, and transmission lines.","Siemens power deal, Presidential Power Initiative, PPI Siemens, power project, new substation, transmission line construction",,power
power_infrastructure_security,Critical Infrastructure Security,"Protection of power assets. Covers vandalism of transmission towers, theft of transformers, and sabotage.","vandalism power tower, cable theft, transformer theft, grid sabotage, power infrastructure attack",,power
power_media_narrative,"Media, Opposition & Political Narrative",Political discourse around power. Includes opposition criticism of power failure and media editorials on the energy crisis.,"power sector crisis, failed power reform, opposition power criticism, energy crisis editorial",,power
power_regional_issues,State & Regional Energy Issues,State government involvement in power (following the new Electricity Act allowing states to generate power).,"state power project, Aba Power, Geometrics Power, state electricity market, Lagos power market",,power
power_investments_partnerships,Investments & International Partnerships,"Funding and loans for power. Includes World Bank loans, AfDB support, and private sector investment.","World Bank power loan, AfDB power, power sector investment, electricity loan",,power
power_operational_metrics,Operational Metrics & Performance,"Technical performance data. Covers peak generation (MW), system collapse frequency, and metering gap.","megawatts generated, peak generation, metering gap, system collapse count, allocated MW",,power
