source,platform,source_type,title,text,description,url,published_at,published_date,date,country,user_name
News,website,news_api,Asiwaju Bola Ahmed Adekunle Tinubu: The colossus at 69,"Asiwaju Bola Ahmed Adekunle Tinubu: The colossus at 69 By Tokunbo Abiru He is a man of strong conviction yet willing to engage on issues and admit to the superior argument. Asiwaju Bola Ahmed Tinubu is an enigma, a visionary leader and fisher of great men. The successful stint he had with the oil giant, Mobil equipped him for success in politics. Asiwaju deployed [&#8230;]","By Tokunbo Abiru He is a man of strong conviction yet willing to engage on issues and admit to the superior argument. Asiwaju Bola Ahmed Tinubu is an enigma, a visionary leader and fisher of great men. The successful stint he had with the oil giant, Mobil equipped him for success in politics. Asiwaju deployed [&#8230;]",https://thenationonlineng.net/asiwaju-bola-ahmed-adekunle-tinubu-the-colossus-at-69/,2021-03-28T13:04:26+00:00,2021-03-28T13:04:26+00:00,2021-03-28T13:04:26+00:00,US,thenationonlineng
News,website,news_api,ASIS 2026 Policy Engagement Set for Abuja,"ASIS 2026 Policy Engagement Set for Abuja Nume Ekeghe&#160; Sterling One Foundation, in collaboration with the Office of the Vice President of the Federal Republic of Nigeria, the United Nations System, and partners of the Africa Social","Nume Ekeghe&#160; Sterling One Foundation, in collaboration with the Office of the Vice President of the Federal Republic of Nigeria, the United Nations System, and partners of the Africa Social",https://www.thisdaylive.com/2026/01/28/asis-2026-policy-engagement-set-for-abuja/,2026-01-27T23:41:00+00:00,2026-01-27T23:41:00+00:00,2026-01-27T23:41:00+00:00,US,thisdaylive
News,website,news_api,Full text of President Bola Tinubu’s 65th Independence Day speech,"Full text of President Bola Tinubu’s 65th Independence Day speech NATIONAL BROADCAST BY HIS EXCELLENCY BOLA AHNED TINUBU, GCFR, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE 65TH INDEPENDENCEread more Full text of President Bola Tinubu&#8217;s 65th Independence Day speech","NATIONAL BROADCAST BY HIS EXCELLENCY BOLA AHNED TINUBU, GCFR, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE 65TH INDEPENDENCEread more Full text of President Bola Tinubu&#8217;s 65th Independence Day speech",https://businessday.ng/opinion/article/full-text-of-president-bola-tinubus-65th-independence-day-speech/,2025-10-01T06:12:33+00:00,2025-10-01T06:12:33+00:00,2025-10-01T06:12:33+00:00,US,businessdayonline
News,website,news_api,"Makinde Mourns Ex-President, Buhari","Makinde Mourns Ex-President, Buhari Kemi Olaitan in Ibadan&#160; Oyo State Governor, &#8216;Seyi Makinde, has expressed his condolences to the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, on the death of his","Kemi Olaitan in Ibadan&#160; Oyo State Governor, &#8216;Seyi Makinde, has expressed his condolences to the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, on the death of his",https://www.thisdaylive.com/2025/07/13/makinde-mourns-ex-president-buhari/,2025-07-13T18:31:00+00:00,2025-07-13T18:31:00+00:00,2025-07-13T18:31:00+00:00,US,thisdaylive
News,website,news_api,Tinubu: It’s a Great Pleasure to Witness Disarray in Opposition Parties,"Tinubu: It’s a Great Pleasure to Witness Disarray in Opposition Parties Juliet Akoje in Abuja. The President of the Federal Republic of Nigeria, President Bola Ahmed Tinubu, hasrefuted the rumour of plot for a one party system in Nigeria In his","Juliet Akoje in Abuja. The President of the Federal Republic of Nigeria, President Bola Ahmed Tinubu, hasrefuted the rumour of plot for a one party system in Nigeria In his",https://www.thisdaylive.com/2025/06/12/tinubu-its-a-great-pleasure-to-witness-disarray-in-opposition-parties/,2025-06-12T12:02:23+00:00,2025-06-12T12:02:23+00:00,2025-06-12T12:02:23+00:00,US,thisdaylive
News,website,news_api,"Indeed, Imaan Sulaiman Ibrahim Has Brought Clarity to Nigeria’s National Gender Agenda","Indeed, Imaan Sulaiman Ibrahim Has Brought Clarity to Nigeria’s National Gender Agenda By Jonathan Eze The headline above was coined from the statement of the Commander in Chief of the Armed Forces and President of the Federal Republic of Nigeria, President Bola","By Jonathan Eze The headline above was coined from the statement of the Commander in Chief of the Armed Forces and President of the Federal Republic of Nigeria, President Bola",https://www.thisdaylive.com/index.php/2025/04/21/indeed-imaan-sulaiman-ibrahim-has-brought-clarity-to-nigerias-national-gender-agenda/,2025-04-21T13:43:42+00:00,2025-04-21T13:43:42+00:00,2025-04-21T13:43:42+00:00,US,thisdaylive
News,website,news_api,"President Tinubu Hails Okpebholo’s Educational Reforms, Says His Effort is an Inspiration","President Tinubu Hails Okpebholo’s Educational Reforms, Says His Effort is an Inspiration President of the Federal Republic of Nigeria, President Bola Ahmed Tinubu has praised the educational reforms currently being undertaken by Edo State Governor, Senator Monday Okpebholo, describing it as an inspiration to other tiers of government as well as other states to do better. The President made this glowing remarks during the Iftar Dinner Party [&#8230;]","President of the Federal Republic of Nigeria, President Bola Ahmed Tinubu has praised the educational reforms currently being undertaken by Edo State Governor, Senator Monday Okpebholo, describing it as an inspiration to other tiers of government as well as other states to do better. The President made this glowing remarks during the Iftar Dinner Party [&#8230;]",https://nigerianobservernews.com/2025/03/president-tinubu-hails-okpebholos-educational-reforms-says-his-effort-is-an-inspiration/,2025-03-30T15:16:56+00:00,2025-03-30T15:16:56+00:00,2025-03-30T15:16:56+00:00,US,nigerianobservernews
News,website,news_api,Africa in The Post-Idea World,"Africa in The Post-Idea World Kashim Shettima By Guest columnist Being the speech of His Excellency, Senator Kashim Shettima, GCON, Vice President of the Federal Republic of Nigeria, at the Dr. Kayode Fayemi Commemorative Symposium","Kashim Shettima By Guest columnist Being the speech of His Excellency, Senator Kashim Shettima, GCON, Vice President of the Federal Republic of Nigeria, at the Dr. Kayode Fayemi Commemorative Symposium",https://www.thisdaylive.com/index.php/2025/02/14/africa-in-the-post-idea-world/,2025-02-14T00:50:41+00:00,2025-02-14T00:50:41+00:00,2025-02-14T00:50:41+00:00,US,thisdaylive
News,website,news_api,Trade balance hits N6.5 Trillion in Q2 2024 – Shettima,"Trade balance hits N6.5 Trillion in Q2 2024 – Shettima …with exports rising over 200% Year-on-Year Kashim Shettima, Vice President of the Federal Republic of Nigeria has said that ongoingread more Trade balance hits N6.5 Trillion in Q2 2024 &#8211; Shettima","…with exports rising over 200% Year-on-Year Kashim Shettima, Vice President of the Federal Republic of Nigeria has said that ongoingread more Trade balance hits N6.5 Trillion in Q2 2024 &#8211; Shettima",https://businessday.ng/news/article/trade-balance-hits-n6-5-trillion-in-q2-2024-shettima/,2024-11-13T13:26:14+00:00,2024-11-13T13:26:14+00:00,2024-11-13T13:26:14+00:00,US,businessdayonline
News,website,news_api,NIMASA in Blue Economy: Promoting Nigeria’s bilateral relations,"NIMASA in Blue Economy: Promoting Nigeria’s bilateral relations Some deliberate initiatives taken by the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, upon his election and assumption of office in May 2023, did not only show...The post NIMASA in Blue Economy: Promoting Nigeria&#8217;s bilateral relations appeared first on The Nation Newspaper.","Some deliberate initiatives taken by the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, upon his election and assumption of office in May 2023, did not only show...The post NIMASA in Blue Economy: Promoting Nigeria&#8217;s bilateral relations appeared first on The Nation Newspaper.",https://thenationonlineng.net/nimasa-in-blue-economy-promoting-nigerias-bilateral-relations/,2024-04-14T08:08:00+00:00,2024-04-14T08:08:00+00:00,2024-04-14T08:08:00+00:00,US,thenationonlineng
News,website,news_api,"RHIDF/EET: PBAT ramping-up infrastructure, economic governance","RHIDF/EET: PBAT ramping-up infrastructure, economic governance President Bola Tinubu&#8216;s 44th week as President of the Federal Republic of Nigeria was an exceptionally loaded one. A lot happened in this last one week than most of the...The post RHIDF/EET: PBAT ramping-up infrastructure, economic governance appeared first on The Nation Newspaper.","President Bola Tinubu&#8216;s 44th week as President of the Federal Republic of Nigeria was an exceptionally loaded one. A lot happened in this last one week than most of the...The post RHIDF/EET: PBAT ramping-up infrastructure, economic governance appeared first on The Nation Newspaper.",https://thenationonlineng.net/rhidf-eet-pbat-ramping-up-infrastructure-economic-governance/,2024-03-31T04:47:15+00:00,2024-03-31T04:47:15+00:00,2024-03-31T04:47:15+00:00,US,thenationonlineng
News,website,news_api,The regulatory framework of the Nigerian blue economy (part 1),"The regulatory framework of the Nigerian blue economy (part 1) Introduction In August 2023, the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, announced the creation of newread more The regulatory framework of the Nigerian blue economy (part 1)","Introduction In August 2023, the President of the Federal Republic of Nigeria, Bola Ahmed Tinubu, announced the creation of newread more The regulatory framework of the Nigerian blue economy (part 1)",https://businessday.ng/news/legal-business/article/the-regulatory-framework-of-the-nigerian-blue-economy-part-1/,2024-03-22T11:50:45+00:00,2024-03-22T11:50:45+00:00,2024-03-22T11:50:45+00:00,US,businessdayonline
