Topic Key,Name,Description,Keywords,Keyword Groups,Category
comms_minister_leadership,Minister Ministry & Leadership,"Leadership of the Ministry of Communications, Innovation and Digital Economy. Includes the Minister's roadmap (3MTT), policy announcements, and strategic vision.","Minister of Communications, Bosun Tijani, Ministry of Digital Economy, communications minister, digital economy policy, FMCIDE",,communications
telecom_connectivity,Telecom & Connectivity,"Telecommunications sector. Covers MTN, Glo, Airtel, 9mobile, NCC (Nigerian Communications Commission), 5G rollout, network quality, and dropped calls.","MTN Nigeria, Glo network, Airtel Nigeria, 9mobile, NCC, Nigerian Communications Commission, 5G network, telecom service, poor network, call drop, Starlink nigeria",,communications
internet_digital_access,Internet & Digital Access,"Internet penetration and broadband. Covers broadband plan, right of way for fibre optics, cost of data, and ISP services.","internet access, broadband penetration, fibre optic, cost of data, data price, ISP, internet speed",,communications
digital_id_platforms,Digital ID & National Platforms,"Identity management. Covers NIMC (National Identity Management Commission), NIN (National Identification Number), NIN-SIM linkage, and national database.","NIMC, NIN, National Identification Number, NIN-SIM linkage, national identity card, digital ID",,communications
cybersecurity_trust,Cybersecurity & Digital Trust,"Online safety and security. Covers cyber threats, phishing, awareness campaigns, and building trust in digital platforms.","cybersecurity awareness, online safety, digital trust, cyber threat, hacking alert",,communications
data_protection_regulation,Data Protection & Regulation,"Privacy laws and enforcement. Covers NDPC (Nigeria Data Protection Commission), GDPR compliance, and data breaches.","NDPC, Data Protection Commission, data privacy, data breach, privacy violation, data regulation",,communications
digital_economy_innovation,Digital Economy & Innovation,"Growth of the tech ecosystem. Includes startups, tech hubs, 3MTT (3 Million Technical Talent) program, and digital skills training.","3MTT, tech talent, digital skills, Nigerian startup, tech ecosystem, digital economy growth, innovation hub",,communications
egovernance_services,E-Governance & Digital Public Services,"Digitization of government services. Includes digital public infrastructure (DPI), e-government portals, and galaxy backbone.","e-governance, digital public infrastructure, DPI, Galaxy Backbone, government portal, paperless government",,communications
comms_fintech_payments,Fintech & Digital Payments,"Intersection of tech and finance from a digital economy perspective. Covers payment gateways, tech regulation for fintechs.","fintech regulation, digital payment, tech startup finance, payment gateway",,communications
cybersecurity_infrastructure_crisis,Cybersecurity Infrastructure & Crisis,Major cyber incidents and infrastructure defense. Covers NITDA's role in crisis response and protection of critical digital assets.,"NITDA, cyber attack government, critical information infrastructure, CERRT",,communications
digital_sovereignty,Digital Sovereignty & Future Infrastructure,"Control over national digital assets. Includes data localization, cloud sovereignty, and subsea cables.","data localization, hosted in nigeria, subsea cable, mainone cable, digital sovereignty",,communications
ai_future_policy,AI & Future Policy,"Artificial Intelligence strategies. Includes National AI Strategy, robotics, and emerging tech regulation.","National AI Strategy, Artificial Intelligence Nigeria, AI regulation, emerging technology",,communications
internet_governance_rights,Internet Governance & Digital Rights,"Rights of internet users. Includes freedom of expression online, internet shutdowns, and social media regulation bills.","digital rights, internet freedom, social media bill, internet shutdown, online hate speech bill",,communications
comms_misinformation,Misinformation & Information Integrity,Combating fake news. Includes fact-checking initiatives and government response to viral falsehoods.,"fake news, misinformation, disinformation, fact check, information integrity",,communications
comms_media_stakeholders,Media & Stakeholders,Relationship with tech media and stakeholders. Includes interactions with ALTON (Association of Licensed Telecom Operators of Nigeria) and ATCON.,"ALTON, ATCON, telecom union, tech news, industry stakeholder communication",,communications
comms_public_sentiment,Public Sentiment & Policy Perception,General public view of digital policies. Includes reaction to NIN-SIM blocking and data prices.,"NIN blocked, SIM blocked, data expensive, comms policy complaint",,communications
comms_economic_impact,Economic Impact,Contribution of ICT to GDP. Includes telecom sector revenue and digital job creation.,"ICT contribution to GDP, telecom revenue, digital job creation, tech sector growth",,communications
comms_regional_local,Regional & Local Signals,Digital access in rural vs urban areas.,"rural telephony, underserved area internet, digital divide nigeria",,communications
