Topic Key,Name,Description,Keywords,Keyword Groups,Category
youth_sports_governance,Ministry Leadership & Governance,"Governance of the Youth and Sports Development sector. Includes Ministry policies, Minister's activities, sports federation elections, and administrative decisions.","Minister of Youth, Sports Minister, Ministry of Youth and Sports, sports policy, youth policy, sports federation election, NFF president",,youth
youth_affairs_core,Youth Affairs Core Issues,"General issues affecting the youth demographic. Includes youth demographics, 'Not Too Young To Run', youth inclusion in governance, and national youth conferences.","Nigerian youth, youth inclusion, not too young to run, National Youth Council, NYCN, youth leader, youth participation",,youth
youth_employment_empowerment,"Youth Employment, Skills & Empowerment","Economic opportunities for youth. Covers unemployment, N-Power, skills acquisition programs, tech empowerment, entrepreneurship grants, and job creation.","youth unemployment, N-Power, skills acquisition, youth empowerment, youth grant, job creation, tech skills, digital skill, youth entrepreneur",,youth
youth_education_nysc,Education to Employment & NYSC,"Transition from school to work and National Youth Service Corps. Includes NYSC orientation camps, PPA (Place of Primary Assignment), corpers' allowance (allawee), and graduate employability.","NYSC, National Youth Service Corps, corper, orientation camp, PPA, allawee, youth service, passing out parade, POP, CDS",,youth
youth_protests_activism,"Youth Protests, Activism & Movements","Youth-led social movements and demonstrations. Includes EndSARS, protests against police brutality, student protests, and online activism.","EndSARS, youth protest, police brutality, soro soke, youth movement, student protest, online activism, occupy",,youth
youth_social_risks,"Mental Health, Drugs & Social Risks","Social challenges facing youth. Includes drug abuse (Codeine, Tramadol, Mkpuru Mmiri), cybercrime (Yahoo Yahoo), cultism, and mental health struggles.","drug abuse, substance abuse, tramadol, codeine, mkpuru mmiri, yahoo yahoo, cybercrime, cultism, youth depression, mental health youth",,youth
sports_national_international,Sports: National & International,"General participation in major sporting events. Includes Olympics, Commonwealth Games, All Africa Games, and National Sports Festival.","Olympics, Commonwealth Games, All Africa Games, National Sports Festival, Team Nigeria, gold medal, international tournament",,youth
football_high_sensitivity,Football: High Sensitivity Area,"Football-specific discussions, which are highly emotional in Nigeria. Covers Super Eagles, Super Falcons, NFF (Nigeria Football Federation), World Cup qualifiers, AFCON, and local leagues (NPFL).","Super Eagles, Super Falcons, NFF, Nigeria Football Federation, AFCON, World Cup qualifier, NPFL, Enyimba, Kano Pillars, football match",,youth
other_major_sports,Other Major Sports,"Non-football sports with significant following. Includes Basketball (D'Tigress/D'Tigers), Athletics (Track & Field), Boxing, and Table Tennis.","D'Tigress, D'Tigers, basketball nigeria, athletics nigeria, Tobi Amusan, boxing nigeria, table tennis nigeria, Aruna Quadri",,youth
sports_infrastructure,Sports Infrastructure & Facilities,"State of stadiums and training facilities. Includes National Stadium Lagos/Abuja, decaying infrastructure, pitch conditions, and renovation projects.","National Stadium, Surulere Stadium, Moshood Abiola Stadium, bad pitch, stadium renovation, sports facility, training pitch",,youth
sports_funding_integrity,"Sports Funding, Governance & Integrity","Financial management in sports. Covers corruption allegations, funding for tournaments, unpaid match bonuses, and leadership tussles in federations.","sports corruption, NFF scandal, unpaid bonus, owing player, sports budget, missing fund, sports ministry funding",,youth
athletes_officials_welfare,"Athletes, Coaches & Officials","Welfare of sports personnel. Includes hiring/firing of coaches (e.g., Super Eagles coach), player welfare, and treatment of athletes.","Super Eagles Coach, Jose Peseiro, Finidi George, athlete welfare, owing salary coach, technical adviser, foreign coach",,youth
fan_sentiment_risk,"Fan Sentiment, Violence & Matchday Risks","Crowd behavior and safety. Includes stadium violence, hooliganism, pitch invasion, and angry fan reactions.","stadium violence, pitch invasion, hooliganism, angry fan, match fixing, referee attack",,youth
youth_digital_trends,Social Media & Influencer Monitoring,"Youth culture on digital platforms. Includes trends on Twitter/X, TikTok, influential voices, and viral challenges.","twitter influencer, viral trend, youth challenge, tiktok nigeria, social media trend, influencer marketing",,youth
youth_media_reputation,Media Reputation & Crisis Signals,"Public perception of the ministry/minister in media. Includes press releases, controversies, and viral negative stories.","minister scandal, ministry statement, press release youth, viral video minister, youth minister trend",,youth
youth_regional_demographics,Regional & Demographic Signals,Youth issues specific to regions (North vs South) or demographics (Rural vs Urban youth).,"northern youth, southern youth, arewa youth, ohanaeze youth, rural youth, urban youth",,youth
youth_future_trends,Future Facing & Strategic Signals,"Emerging long-term issues for youth. Includes future of work, tech adoption, and generational shifts (Gen Z).","future of work, Gen Z nigeria, tech adoption, digital economy youth, youth migration",,youth
youth_early_warning,Early Warning & Escalation Keywords,"Keywords indicating imminent youth unrest or crisis. Includes mobilization for protests, threats of violence, or hashtags calling for action.","occupy lekki, shutdown, mass action, revolution now, youth uprising, mobilize protest",,youth
