entry_id,text,text_length,platform,source,has_embedding,topics_found,topics,topics_json,classification_time_ms,existing_ministry,existing_issue,created_at
131185,"Nigeria is stacked with stars shining across Europe, but who’s leading the pack right now? 🇳🇬⚽

Cast your vote in the comments 👇

AFCON season + festive vibes. Let’s see who’s topping your list",193,X,X,Yes,0,None,[],0.59,sports_development,afcon-players-highlighting,2025-12-16T13:25:24.844409
122137,Osimhen 'apologised immediately' after miss against Gabon,57,ESPN,News,Yes,0,None,[],0.51,sports_development,osimhen-injury-concern,2025-11-14T14:18:11.602533
35812,"Trump responds to Cruz, others’ call to help Nigerian Christians",64,The Black Chronicle,News,Yes,0,None,[],0.43,foreign_affairs,trump-threat-christian-killings-nigeria,2025-11-02T21:53:32.111744
35347,Trump threatens military action in Nigeria over Christian persecution claims,76,NPR,News,Yes,2,Military Operations (0.291); Security Threats (0.231),"[{""topic"": ""military_operations"", ""topic_name"": ""Military Operations"", ""confidence"": 0.291, ""keyword_score"": 0.101, ""embedding_score"": 0.418}, {""topic"": ""security_threats"", ""topic_name"": ""Security Threats"", ""confidence"": 0.231, ""keyword_score"": 0.0, ""embedding_score"": 0.385}]",0.67,defence,christian-persecution-trump-military-response,2025-11-02T21:53:32.111744
35348,Trump orders military to prepare plans for 'action' in Nigeria,62,BBC,News,Yes,4,Military Operations (0.394); Security Threats (0.220); Presidential Announcements (0.217); Foreign Affairs (0.203),"[{""topic"": ""military_operations"", ""topic_name"": ""Military Operations"", ""confidence"": 0.394, ""keyword_score"": 0.101, ""embedding_score"": 0.558}, {""topic"": ""security_threats"", ""topic_name"": ""Security Threats"", ""confidence"": 0.22, ""keyword_score"": 0.0, ""embedding_score"": 0.367}, {""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.217, ""keyword_score"": 0.0, ""embedding_score"": 0.361}, {""topic"": ""foreign_affairs"", ""topic_name"": ""Foreign Affairs"", ""confidence"": 0.203, ""keyword_score"": 0.0, ""embedding_score"": 0.339}]",0.45,defence,trump-threatens-military-action-nigeria,2025-11-02T21:53:32.111744
35349,"Insecurity: Tinubu well ahead of U.S. plans, to meet Trump soon – Presidency",76,Businessday NG,News,Yes,2,Security Threats (0.305); Presidential Announcements (0.262),"[{""topic"": ""security_threats"", ""topic_name"": ""Security Threats"", ""confidence"": 0.305, ""keyword_score"": 0.175, ""embedding_score"": 0.325}, {""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.262, ""keyword_score"": 0.11, ""embedding_score"": 0.363}]",0.49,defence,tinubu-trump-meeting-anti-terrorism-agenda,2025-11-02T21:53:32.111744
131303,"If these leaders had invested even half of the funds they stolen, Nigeria would by now have reached a level of development comparable to that of India today.",157,X,X,Yes,1,Infrastructure Projects (0.243),"[{""topic"": ""infrastructure_projects"", ""topic_name"": ""Infrastructure Projects"", ""confidence"": 0.243, ""keyword_score"": 0.11, ""embedding_score"": 0.333}]",0.48,budget_economic_planning,government-spending-priorities,2025-12-16T13:25:24.844409
35350,"Alleged Genocide: Tinubu should listen to Trump before it’s too late, U.S. lawmaker warns",89,Peoples Gazette Nigeria,News,Yes,0,None,[],0.4,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35351,Tinubu to meet Trump over alleged Christian genocide in Nigeria — Presidency,76,Punch Newspapers,News,Yes,1,Presidential Announcements (0.253),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.253, ""keyword_score"": 0.11, ""embedding_score"": 0.349}]",0.45,foreign_affairs,trump-threat-christian-killings-nigeria,2025-11-02T21:53:32.111744
35352,2027: Zamfara APC endorses Tinubu as consensus candidate,56,MSN,News,Yes,0,None,[],0.47,non_governance,non_governance,2025-11-02T21:53:32.111744
35353,"“Tinubu Ahead of Unfolding US Orchestrated Game”, Onanuga Claims",64,TVC News,News,Yes,0,None,[],0.43,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35354,Tinubu to meet Trump over Christians genocide claim – Presidency,64,The ICIR,News,Yes,1,Presidential Announcements (0.234),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.234, ""keyword_score"": 0.11, ""embedding_score"": 0.316}]",0.49,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35355,"US CPC row: Tinubu saw plot coming, acted ahead – Presidency",60,The Nation Newspaper,News,Yes,1,Presidential Announcements (0.245),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.245, ""keyword_score"": 0.11, ""embedding_score"": 0.335}]",0.44,interior,threat-against-politician,2025-11-02T21:53:32.111744
35356,Tinubu to Meet Trump Amid Claims of Christian Persecution in Nigeria — Bwala,76,PRNigeria News,News,Yes,0,None,[],0.46,foreign_affairs,trump-threat-christian-killings-nigeria,2025-11-02T21:53:32.111744
131304,"As long as you in Nigeria, you are suppose to baff first before sêx 

Like baff well",84,X,X,Yes,0,None,[],0.47,non_governance,non_governance,2025-12-16T13:25:24.844409
35357,"‘Nothing Can Stop Tinubu in 2027,’ Says Tunji-Ojo’s Support Group",65,Arise News,News,Yes,0,None,[],0.41,non_governance,non_governance,2025-11-02T21:53:32.111744
35358,"""Tinubu Well Ahead Of Orchestrated Games Unfolding In America"" – Nigerian Presidency Replies Trump",98,Sahara Reporters,News,Yes,1,Presidential Announcements (0.302),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.302, ""keyword_score"": 0.11, ""embedding_score"": 0.43}]",0.55,foreign_affairs,tinubu-response-to-trump,2025-11-02T21:53:32.111744
35360,Tinubu ahead of ‘orchestrated game’ unfolding in Trump’s America over alleged Christian genocide: Presidency,108,Peoples Gazette Nigeria,News,Yes,1,Presidential Announcements (0.217),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.217, ""keyword_score"": 0.11, ""embedding_score"": 0.289}]",0.55,foreign_affairs,tinubu-alleged-genocide-trump-america,2025-11-02T21:53:32.111744
131305,"@MrMekzy_ @MelonyPine You’d someone that’s enjoying life in Nigeria like this to relocate for $10,000 monthly, in a job in USA and he will answer you? 😂",152,X,X,Yes,1,Unemployment (0.210),"[{""topic"": ""unemployment"", ""topic_name"": ""Unemployment"", ""confidence"": 0.21, ""keyword_score"": 0.12, ""embedding_score"": 0.27}]",0.54,labour_employment,job-creation-africa,2025-12-16T13:25:24.844409
35361,"Tinubu, Trump to meet over alleged Christian genocide in Nigeria: Presidency",76,Peoples Gazette Nigeria,News,Yes,1,Presidential Announcements (0.254),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.254, ""keyword_score"": 0.11, ""embedding_score"": 0.35}]",0.9,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35362,2027: Northerners are strongly behind Tinubu’s re-election — Yakassai,69,Businessday NG,News,Yes,0,None,[],0.44,non_governance,non_governance,2025-11-02T21:53:32.111744
35363,Tinubu govt extorted $50 million from U.S. to release me: Ex-Binance Executive,78,Peoples Gazette Nigeria,News,Yes,0,None,[],0.42,justice,tinubu-extortion-claim,2025-11-02T21:53:32.111744
35364,Tinubu's reforms'll lift Nigeria from recession to prosperity – ex-LG chairmen\xa0,82,MSN,News,Yes,2,Unemployment (0.219); Inflation (0.205),"[{""topic"": ""unemployment"", ""topic_name"": ""Unemployment"", ""confidence"": 0.219, ""keyword_score"": 0.0, ""embedding_score"": 0.364}, {""topic"": ""inflation"", ""topic_name"": ""Inflation"", ""confidence"": 0.205, ""keyword_score"": 0.0, ""embedding_score"": 0.342}]",0.42,budget_economic_planning,tinubu-reforms-nigeria-prosperity,2025-11-02T21:53:32.111744
35366,CUPP: Opposition alliance hails Tinubu’s road infrastructure projects,69,Peoples Gazette Nigeria,News,Yes,1,Infrastructure Projects (0.477),"[{""topic"": ""infrastructure_projects"", ""topic_name"": ""Infrastructure Projects"", ""confidence"": 0.477, ""keyword_score"": 0.336, ""embedding_score"": 0.434}]",0.52,works,road-infrastructure-projects,2025-11-02T21:53:32.111744
35367,Why DHQ Avoided Labelling Foiled Plot a ‘Coup’ -PRNigeria Reveals,65,PRNigeria News,News,Yes,0,None,[],0.51,defence,foiled-plot-labelled-coup,2025-11-02T21:53:32.111744
35368,"Presidency Highlights Nigeria’s Strategy, Calls US Designation Orchestrated",75,Voice of Nigeria,News,Yes,4,Presidential Announcements (0.325); Foreign Affairs (0.230); Military Operations (0.225); Unemployment (0.203),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.325, ""keyword_score"": 0.11, ""embedding_score"": 0.469}, {""topic"": ""foreign_affairs"", ""topic_name"": ""Foreign Affairs"", ""confidence"": 0.23, ""keyword_score"": 0.0, ""embedding_score"": 0.384}, {""topic"": ""military_operations"", ""topic_name"": ""Military Operations"", ""confidence"": 0.225, ""keyword_score"": 0.0, ""embedding_score"": 0.376}, {""topic"": ""unemployment"", ""topic_name"": ""Unemployment"", ""confidence"": 0.203, ""keyword_score"": 0.0, ""embedding_score"": 0.338}]",0.52,foreign_affairs,outrage-over-us-designation-nigeria,2025-11-02T21:53:32.111744
131306,"Dear @Fmactce_Nigeria &amp; Honourable Minister @hanneymusawa. The website for 'The Creative Leap Accelerator Programme' currently leads to a sports betting company. 

Also, the ministry's main website get as e be. Na so we wan enter 2026? https://t.co/9QKEl5t3Dp",263,X,X,Yes,0,None,[],0.47,art_culture_creative,art_culture_creative,2025-12-16T13:25:24.844409
35369,"Tinubu, Trump ‘To Meet’ As Bwala Hails US-Nigeria Security Ties, Onanuga Warns Of ‘Orchestrated Game’",101,Arise News,News,Yes,1,Security Threats (0.233),"[{""topic"": ""security_threats"", ""topic_name"": ""Security Threats"", ""confidence"": 0.233, ""keyword_score"": 0.101, ""embedding_score"": 0.321}]",0.56,defence,tinubu-trump-meeting-anti-terrorism-agenda,2025-11-02T21:53:32.111744
35370,Alleged Genocide: Tinubu To Meet Trump In Coming Days — Nigerian Presidency,75,Sahara Reporters,News,Yes,1,Presidential Announcements (0.267),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.267, ""keyword_score"": 0.11, ""embedding_score"": 0.372}]",0.52,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35371,"Beware, U.S. govt doesn’t want you in 2027, Apostle Ayodele tells Tinubu",72,The Guardian Nigeria News,News,Yes,0,None,[],0.4,foreign_affairs,peter-backed,2025-11-02T21:53:32.111744
35372,Tinubu Well Ahead Of Orchestrated Game Unfolding In US – Onanuga,64,Channels Television,News,Yes,0,None,[],0.41,non_governance,non_governance,2025-11-02T21:53:32.111744
35373,"Presidency Says Tinubu, Trump Will Soon Meet Over Christian Genocide Claim",74,The Whistler Newspaper,News,Yes,1,Presidential Announcements (0.253),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.253, ""keyword_score"": 0.11, ""embedding_score"": 0.348}]",0.45,foreign_affairs,tinubu-trump-warning,2025-11-02T21:53:32.111744
35374,Nigerian President Ready to Discuss Christian Genocide Allegations with Trump ᐉ News from Fakti.bg - World,106,Fakti.bg,News,Yes,1,Presidential Announcements (0.273),"[{""topic"": ""presidential_announcements"", ""topic_name"": ""Presidential Announcements"", ""confidence"": 0.273, ""keyword_score"": 0.11, ""embedding_score"": 0.381}]",0.49,foreign_affairs,trump-threat-christian-killings-nigeria,2025-11-02T21:53:32.111744
35375,"KILLINGS: Don't Test Trump, U.S. Rep, War Secretary Warn Tinubu",63,The Whistler Newspaper,News,Yes,0,None,[],0.46,defence,trump-warns-tinubu,2025-11-02T21:53:32.111744
35376,"Insecurity: Tinubu ‘ahead of orchestrated game in America’, says Onanuga",72,Punch Newspapers,News,Yes,1,Security Threats (0.314),"[{""topic"": ""security_threats"", ""topic_name"": ""Security Threats"", ""confidence"": 0.314, ""keyword_score"": 0.175, ""embedding_score"": 0.339}]",0.63,interior,tinubu-america-security,2025-11-02T21:53:32.111744
35377,"Tinubu replies Trump, says Nigeria upholds religious freedom",60,Premium Times Nigeria,News,Yes,0,None,[],0.4,foreign_affairs,nigeria-religious-freedom,2025-11-02T21:53:32.111744
