Ministry,Topic Key,Name,Description,Keywords,Keyword Groups,Category
Education,education_institutions_agencies,Education Institutions & Agencies,"Government agencies, boards, and regulatory bodies overseeing education in Nigeria, including the National Universities Commission (NUC), Universal Basic Education Commission (UBEC), TETFund, JAMB, WAEC, NECO, and SUBEB. Also includes discussions about specific universities, polytechnics, colleges of education, and unity schools.","NUC, UBEC, TETFund, JAMB, WAEC, NECO, SUBEB, NABTEB, TRCN, NCCE, NBTE, National Universities Commission, Universal Basic Education Commission, Joint Admissions and Matriculation Board, Federal Ministry of Education, State Ministry of Education","[OR: university, polytechnic, college of education, unity school, federal college, federal university]",education
Education,education_policies_frameworks,Education Policies & Frameworks,"Educational laws, acts, policies, and regulatory frameworks governing the Nigerian education sector. Includes the National Policy on Education, education funding acts, university autonomy bills, student loan policies, and government white papers on education reform.","National Policy on Education, education act, university autonomy, student loan act, education reform, education bill, education law, education budget, education policy","[AND: bill, education] | [AND: policy, school] | [AND: act, university]",education
Education,education_programs_initiatives,Education Programs & Initiatives,"Government-led educational programs, intervention schemes, and scholarship initiatives. Includes the Almajiri Education Programme, Safe School Initiative, Home Grown School Feeding Programme, BESDA (Better Education Service Delivery for All), and various federal and state scholarship boards.","Almajiri Education, Safe School Initiative, School Feeding Programme, BESDA, Scholarship Board, Federal Scholarship Board, PTDF, education intervention, scholarship scheme, bursary","[AND: program, education] | [AND: initiative, school] | [AND: project, literacy]",education
Education,exams_assessments,Exams & Assessments,"Standardized testing, entrance examinations, and academic assessments in Nigeria. Covers UTME, POST-UTME, WASSCE, NECO, NABTEB, Common Entrance Examination, and issues related to exam malpractice, result releases, and cut-off marks.","UTME, POST-UTME, WASSCE, SSCE, Common Entrance, cut-off mark, exam malpractice, exam centers, admission list, matriculation, JAMB result, WAEC result",,education
Education,education_levels_school_types,Education Levels & School Types,"Discussions specific to different tiers of the education system: Early Childhood Care and Development (ECCD), Primary Education, Secondary Education (JSS/SSS), Tertiary Education, Vocational/Technical Education, and Special Needs Education.","primary school, secondary school, tertiary institution, kindergarten, nursery school, vocational school, technical college, special education, basic education, higher education, post-primary, undergraduate, postgraduate",,education
Education,curriculum_academics,Curriculum & Academics,"The content of education, teaching standards, syllabus, and academic subjects. Includes discussions on STEAM (Science, Technology, Engineering, Arts, Math), entrepreneurship education, indigenous language teaching, and curriculum updates by NERDC.","curriculum, syllabus, NERDC, scheme of work, academic calendar, STEAM, STEM, vocational training, entrepreneurship education","[AND: teaching, subject] | [AND: learning, standard]",education
Education,education_stakeholders_roles,Education Stakeholders & Roles,"Key actors in the education sector including students, teachers, lecturers, Vice-Chancellors, Rectors, parents, and unions like ASUU (Academic Staff Union of Universities), NUT (Nigeria Union of Teachers), NASU, and SSANU. Covers strikes, salary disputes, and welfare.","ASUU, NUT, NASU, SSANU, COEASU, NANS, Vice-Chancellor, Rector, Provost, Headmaster, Principal, Teacher, Lecturer, Professor, Student Union, PTA, Parents Teachers Association","[AND: strike, lecturer] | [AND: strike, teacher] | [AND: salary, teacher]",education
Education,education_geography_administration,Education Geography & Administration,"Administrative structures and geographic distribution of education. Includes Local Government Education Authorities (LGEA), State Universal Basic Education Boards (SUBEB), school districts, catchment areas, and educationally disadvantaged states (EDS).","LGEA, SUBEB, catchment area, inspectorate, ministry of education, commissioner for education, school board, education secretary, education district",,education
Agriculture,national_food_security_supply,National Food Security & Supply Status,"Availability and accessibility of food in Nigeria. Covers national grain reserves, hunger levels, risk of famine, food sufficiency, and the overall state of food security in the country.","food security, hunger, famine, starvation, food shortage, grain reserve, strategic grain reserve, national food reserve, food supply, food sufficiency, zero hunger, food insecurity",,agriculture
Agriculture,staple_crops_production,Staple Crops & Agricultural Production,"Cultivation and harvest of major Nigerian staple crops. Includes Rice, Maize, Cassava, Yams, Sorghum, Millet, Wheat, and general crop production output and harvest reports.","rice farming, maize production, cassava farming, yam harvest, sorghum, millet, wheat farming, crop production, harvest season, planting season, staple crop, food crop","[OR: rice pyramid, lake rice]",agriculture
