Topic Key,Name,Description,Keywords,Keyword Groups,Category
health_governance_policy,Governance & Health Policy,"Strategic leadership and regulation of the health sector. Includes the National Health Act, health financing, budget allocation for health, NHIS (National Health Insurance Scheme), Basic Health Care Provision Fund (BHCPF), and Ministry of Health policies.","National Health Act, NHIS, National Health Insurance, health budget, health financing, BHCPF, Basic Health Care Provision Fund, Ministry of Health, health policy, health reform, universal health coverage, UHC",,health
disease_outbreaks_surveillance,Disease Outbreaks & Surveillance,"Monitoring and response to epidemic-prone diseases. Covers Lassa Fever, Cholera, COVID-19, Meningitis, Monkeypox, Ebola, and NCDC (Nigeria Centre for Disease Control) surveillance activities.","Lassa Fever, Cholera, COVID-19, Meningitis, Monkeypox, Ebola, Diphtheria, NCDC, disease outbreak, epidemic, pandemic, surveillance, contact tracing",,health
endemic_infectious_diseases,Endemic & Infectious Diseases,"Ongoing management of burden diseases. Includes Malaria, Tuberculosis (TB), HIV/AIDS, Neglected Tropical Diseases (NTDs), and treatment programs for these conditions.","Malaria, Tuberculosis, TB, HIV, AIDS, antiretroviral, ART, malaria treatment, typhoid, hepatitis, NTD, neglected tropical disease",,health
antimicrobial_resistance,Antimicrobial Resistance & Hospital Infections,"Issues related to drug resistance and hospital safety. Covers antibiotic resistance, superbugs, rational use of medicines, and hospital-acquired infections.","antimicrobial resistance, AMR, antibiotic resistance, superbug, drug resistance, rational use of medicine, hospital infection, nosocomial",,health
hospitals_healthcare_facilities,Hospitals & Healthcare Facilities,"Infrastructure and state of medical centers. Includes Teaching Hospitals, Federal Medical Centres (FMCs), General Hospitals, Primary Healthcare Centers (PHCs), hospital equipment, and facility conditions.","Teaching Hospital, Federal Medical Centre, FMC, General Hospital, PHC, Primary Healthcare Center, hospital equipment, hospital infrastructure, health center, clinic, hospital ward",,health
health_workforce,Health Workforce,"Human resources for health. Includes Doctors, Nurses, Pharmacists, Lab Scientists, brain drain ('Japa'), shortage of staff, and recruitment of health workers.","doctor, nurse, pharmacist, lab scientist, medical staff, health worker, brain drain, japa doctor, shortage of doctors, medical consultant, resident doctor",,health
workforce_strikes_protests,Workforce Strikes & Protests,"Industrial actions by health unions. Covers strikes by NMA (Nigerian Medical Association), NARD (National Association of Resident Doctors), JOHESU, and demands for salary arrears or hazard allowance.","NMA, NARD, JOHESU, NANNM, doctors strike, health worker strike, hazard allowance, salary arrears, resident doctors strike",,health
drugs_pharmaceuticals,Drugs & Pharmaceuticals,"Regulation and supply of medicines. Includes NAFDAC activities, fake/substandard drugs, drug supply chains, pharmacy regulation, and cost of medication.","NAFDAC, fake drugs, substandard drugs, counterfeit drugs, pharmaceutical, drug supply, cost of drugs, medication, pharmacy, drug enforcement",,health
vaccines_immunization,Vaccines & Immunization,"Vaccination programs and coverage. Includes NPHCDA (National Primary Health Care Development Agency), routine immunization, polio eradication, measles vaccine, and vaccine storage/cold chain.","vaccine, immunization, vaccination, NPHCDA, polio, measles vaccine, cold chain, routine immunization, yellow fever card",,health
maternal_child_health,Maternal & Child Health,"Health of mothers and children. Covers maternal mortality, infant mortality, antenatal care, delivery services, family planning, and reproductive health.","maternal health, child health, maternal mortality, infant mortality, antenatal, delivery, childbirth, family planning, reproductive health, midwife, under-5 mortality",,health
nutrition_food_security,Nutrition & Food Security,"Nutritional status of the population. Covers malnutrition, stunting in children, wasting, micronutrient deficiency, and severe acute malnutrition (SAM).","malnutrition, stunting, wasting, severe acute malnutrition, SAM, ready to use therapeutic food, RUTF, micronutrient, nutritional status",,health
public_sentiment_complaints,Public Sentiment & Complaints,"General public feedback on health services. Includes negligence, poor attitude of staff, rejection of patients (especially gunshot victims), and patient satisfaction.","medical negligence, hospital negligence, poor treatment, rejection of patient, gunshot victim hospital, doctor attitude, nurse attitude, hospital complaint",,health
health_misinformation_rumors,Health Misinformation & Rumors,"Spread of false health information. Includes vaccine hesitancy, fake cures, herbal remedy myths, and conspiracy theories affecting public health.","fake cure, herbal cure claim, vaccine conspiracy, health rumor, health myth, anti-vax, vaccine hesitancy",,health
health_emergencies_disasters,Health Emergencies & Disasters,"Mass casualty events and acute health crises. Includes building collapses, explosions, mass accidents requiring emergency response, and ambulance services.","mass casualty, emergency response, ambulance, paramedic, building collapse health, explosion victim, casualty ward, emergency room, accident victim",,health
