Topic Key,Name,Description,Keywords,Keyword Groups,Category
transport_governance,"Ministry, Leadership & Governance","Activities of the Federal Ministry of Transportation. Includes policy announcements, ministerial inspections, transport budgets, and regulatory frameworks governing the sector.","Ministry of Transportation, Minister of Transport, transport policy, transport budget, transport regulation, federal executive council transport",,transport
road_transport_highways,Road Transport & Highways,"Condition and management of federal roads and highways. Covers potholes, road rehabilitation, FERMA (Federal Roads Maintenance Agency), and major expressways (Lagos-Ibadan, Abuja-Kano).","FERMA, federal road, expressway, highway, pothole, bad road, road rehabilitation, road construction, Lagos-Ibadan expressway, Abuja-Kaduna road, Second Niger Bridge",,transport
rail_transport,Rail Transport,"Railway services and infrastructure. Includes NRC (Nigeria Railway Corporation), train schedules, ticket handling, Abuja-Kaduna train, Lagos-Ibadan rail, and Warri-Itakpe line.","NRC, Nigeria Railway Corporation, train service, railway, Abuja-Kaduna train, Lagos-Ibadan rail, rail line, train station, train ticket, e-ticketing",,transport
aviation_airports,Aviation & Airports,"Air travel sector. Covers FAAN, NCAA, airport conditions (MMIA, Nnamdi Azikiwe), flight delays, airline operations (Air Peace, etc.), and aviation fuel scarcity.","FAAN, NCAA, airport, flight delay, airline, aviation fuel, Jet A1, domestic flight, international terminal, Muritala Muhammed Airport, Nnamdi Azikiwe Airport",,transport
maritime_ports,"Maritime, Ports & Logistics","Sea transport and ports authority. Includes NPA (Nigerian Ports Authority), NIMASA, Apapa Port, Tin Can Island, port congestion, customs clearance, and waterways.","NPA, Nigerian Ports Authority, NIMASA, Apapa Port, Tin Can Island, Lekki Deep Sea Port, port congestion, clearing agent, customs transport, inland waterways, NIWA",,transport
transport_safety_accidents,"Safety, Accidents & Emergencies","Transport safety and road crashes. Includes FRSC (Federal Road Safety Corps), road accidents, tanker explosions, train derailments, and air crashes/incidents.","FRSC, Road Safety, road accident, auto crash, tanker explosion, train derailment, plane crash, emergency response transport, fatality road",,transport
infrastructure_projects_delivery,Infrastructure Projects & Delivery,"Major transport infrastructure projects. Covers completion of rail lines, new airport terminals, bridge construction, and project timelines.","rail project, airport terminal project, road project, infrastructure delivery, commissioning transport, construction delay, contractor road",,transport
urban_transport_fares,"Urban Transport, Fares & Green Mobility","Intra-city commuting and costs. Includes transport fares (T-fare), BRT buses, Okada/Keke bans, Danfo, CNG buses (Compressed Natural Gas), and electric vehicle initiatives.","transport fare, t-fare, bus fare, BRT, Danfo, Okada ban, Keke NAPEP, CNG bus, transport cost, commuter, traffic jam, go-slow",,transport
transport_labour_unions,"Public Sentiment, Labour & Media","Transport unions and worker sentiment. Covers NURTW (National Union of Road Transport Workers), RTEAN, NARTO, transport strikes, and public complaints.","NURTW, RTEAN, NARTO, road transport union, transport strike, agbero, park management, driver union, railway worker strike",,transport
transport_crisis_signals,Early Warning & Crisis Signals,"Security risks in transport. Includes kidnapping on highways, attacks on trains, robbery in traffic (one chance), and blockades of roads.","kidnap road, highway robbery, train attack, one chance, traffic robbery, road blockade, travel risk, unsafe road",,transport
