Topic Key,Name,Description,Keywords,Keyword Groups,Category
defence_leadership_governance,Ministry Leadership & Governance,"Leadership of the defense sector. Includes the Minister of Defence, Chief of Defence Staff (CDS), and Defence Headquarters (DHQ) strategic communications.","Minister of Defence, Badaru Abubakar, Bello Matawalle, Chief of Defence Staff, CDS, Defence Headquarters, DHQ, defence budget, military hierarchy",,defence
defence_operations_command,Defence Operations Command Structure,"Operational command and control. Covers different theatre commands, Operation Hadin Kai, Operation Whirl Stroke, and military restructuring.","Theatre Command, Operation Hadin Kai, Operation Whirl Stroke, Operation Safe Haven, Operation Delta Safe, JTF, Joint Task Force, GOC, General Officer Commanding",,defence
counter_insurgency_northeast,Counter-Insurgency – Northeast,"War against terrorism in the Northest (Borno, Yobe, Adamawa). Covers Boko Haram, ISWAP (Islamic State West Africa Province), Sambisa Forest operations, and terrorist surrender.","Boko Haram, ISWAP, terrorist, insurgent, Sambisa Forest, Lake Chad region, terrorist surrender, repentant boko haram, IED attack, ambush soldier",,defence
counter_insurgency_northwest,Counter-Insurgency – Northwest,"Security operations in Northwest (Zamfara, Kaduna, Katsina, Sokoto). Covers banditry, kidnapping, cattle rustling, and military raids on bandit camps.","bandit, banditry, kidnapper, cattle rustler, forest raid, bandit kingpin, Turji, military airstrike bandit",,defence
counter_insurgency_middle_belt,Counter-Insurgency – Middle Belt,"Conflict in North Central (Plateau, Benue, Niger). Covers farmer-herder crisis, communal clashes, and military peacekeeping.","herdsmen attack, communal clash, Plateau killing, Benue attack, military peacekeeper, militia attack",,defence
multinational_regional_ops,Multinational & Regional Operations,Cross-border military cooperation. Includes MNJTF (Multinational Joint Task Force) operating in Lake Chad Basin.,"MNJTF, Multinational Joint Task Force, Lake Chad Basin, regional security, cross-border operation",,defence
nigerian_army_operations,Nigerian Army Operations & Divisions,"Activities specific to the Nigerian Army. Includes Chief of Army Staff (COAS), infantry operations, and recruitment.","Nigerian Army, COAS, Chief of Army Staff, soldier, army recruitment, army checkpoint, army division",,defence
nigerian_navy_maritime,Nigerian Navy & Maritime Operations,"Naval operations in the Niger Delta and Gulf of Guinea. Covers oil theft, illegal refining, privacy, pipeline protection, and Chief of Naval Staff (CNS).","Nigerian Navy, CNS, Chief of Naval Staff, oil theft, illegal refinery, bunkering, sea pirate, Gulf of Guinea, naval operation",,defence
nigerian_air_force,Nigerian Air Force Operations,"Air operations and aerial bombardment. Covers Chief of Air Staff (CAS), Super Tucano jets, airstrikes on terrorist camps, and UAV deployment.","Nigerian Air Force, NAF, CAS, Chief of Air Staff, airstrike, Super Tucano, fighter jet, aerial bombardment, NAF helicopter",,defence
military_equipment_procurement,Military Equipment & Defence Procurement,"Acquisition of arms and logistics. Includes purchase of fighter jets, armored personnel carriers (APCs), DICON (Defence Industries Corporation of Nigeria), and budget allocation for weapons.","arms procurement, military hardware, fighter jet purchase, APC, armored vehicle, DICON, weapon purchase, defence spending",,defence
